state,price,condition,cylinders,fuel,manufacturer,drive,year,title_status,odometer,paint_color,lat,long,lat_clean,long_clean,cluster_gmm_auto_input
or,27995,like new,6 cylinders,gas,mercedes-benz,4wd,2016,clean,74414.0,white,45.524894,-122.656061,44.572021,-122.070938,14
oh,4495,good,4 cylinders,gas,chevrolet,fwd,2014,clean,258200.0,brown,41.522907,-83.537854,40.388783,-82.764915,4
dc,16995,,8 cylinders,gas,chevrolet,rwd,2011,clean,146000.0,white,38.7707,-77.4494,38.9072,-77.0369,6
co,39590,good,8 cylinders,other,ram,,2019,clean,9220.0,,402104.0,-105.26465,39.059811,-105.311104,7
ny,6995,excellent,,gas,ford,4wd,2006,clean,156000.0,silver,42.777009,-73.900217,42.165726,-74.948051,0
nj,8990,excellent,4 cylinders,gas,subaru,4wd,2011,clean,159370.0,black,39.7579,-74.1041,40.298904,-74.521011,4
ca,16997,excellent,,gas,jeep,4wd,2016,clean,43000.0,grey,33.811,-117.8493,36.116203,-119.681564,13
ca,2000,fair,6 cylinders,gas,acura,rwd,1999,clean,208000.0,green,40.627764,-122.33448,36.116203,-119.681564,13
ma,16199,like new,4 cylinders,gas,hyundai,fwd,2018,clean,24500.0,grey,42.35969,-71.262241,42.230171,-71.530106,4
ut,9550,,4 cylinders,hybrid,ford,fwd,2015,clean,146168.0,silver,40.746555,-111.939676,40.150032,-111.862434,6
ca,28988,,6 cylinders,diesel,ram,4wd,2008,clean,135220.0,silver,40.454899,-122.296372,36.116203,-119.681564,9
az,34990,good,,gas,bmw,rwd,2018,clean,39650.0,black,34.62,-112.42,33.729759,-111.431221,10
va,99950,,,gas,chevrolet,rwd,2021,clean,510.0,orange,37.4011,-77.4615,37.769337,-78.169968,5
mi,5995,,4 cylinders,gas,ford,4wd,2010,clean,158521.0,red,42.448987,-85.661948,43.326618,-84.536095,7
ca,12999,excellent,4 cylinders,gas,chevrolet,,2017,,61908.0,,34.213401,-119.178039,36.116203,-119.681564,13
ok,34899,,,diesel,chevrolet,,2015,clean,173934.0,,30.663,-97.9316,35.565342,-96.928917,9
pa,6999,,,other,buick,fwd,2014,salvage,14876.0,,40.810152,-80.425219,40.590752,-77.209755,10
fl,8850,good,4 cylinders,gas,kia,fwd,2014,clean,53913.0,blue,27.419217,-80.325898,27.766279,-81.686783,11
mt,12345,fair,12 cylinders,gas,chevrolet,4wd,2022,clean,1000000.0,purple,45.423,-112.1735,46.921925,-110.454353,5
oh,15000,excellent,8 cylinders,gas,ford,rwd,1927,clean,0.0,custom,40.286,-82.68,40.388783,-82.764915,5
va,19995,,,gas,ford,,2010,clean,96930.0,blue,36.80453,-76.38501,37.769337,-78.169968,1
wa,2200,good,6 cylinders,gas,pontiac,fwd,1995,clean,145375.0,red,46.933447,-120.517958,47.400902,-121.490494,14
ca,6500,good,8 cylinders,gas,jeep,4wd,2005,clean,98900.0,brown,39.140419,-12153543.0,36.116203,-119.681564,13
ny,7499,,,gas,subaru,,2010,clean,1.0,,4307921.0,-76.513596,42.165726,-74.948051,1
ny,29975,good,8 cylinders,gas,chevrolet,rwd,1972,clean,83000.0,green,42.1239,-79.1895,42.165726,-74.948051,5
mo,22460,,,gas,jeep,4wd,2018,clean,18444.0,white,38.485592,-91.851291,38.456085,-92.288368,1
tx,2500,excellent,8 cylinders,gas,chevrolet,,2011,clean,200516.0,white,33.561918,-101.856594,31.054487,-97.563461,11
nj,13770,,4 cylinders,gas,hyundai,fwd,2016,clean,65015.0,black,39.8911,-75.117,40.298904,-74.521011,4
nc,14700,excellent,8 cylinders,gas,porsche,4wd,2008,clean,130500.0,brown,35.936386,-78.611426,35.630066,-79.806419,6
ny,37990,good,8 cylinders,gas,toyota,4wd,2016,clean,22870.0,black,42.66,-73.79,42.165726,-74.948051,7
fl,42590,good,6 cylinders,gas,mercedes-benz,rwd,2015,clean,24048.0,black,28.17,-80.6,27.766279,-81.686783,10
ny,14400,excellent,4 cylinders,gas,nissan,4wd,2017,rebuilt,42000.0,black,43246.0,-77.7743,42.165726,-74.948051,4
ga,7350,good,other,electric,nissan,fwd,2012,clean,42000.0,white,33.9845,-84.1529,33.040619,-83.643074,6
or,5995,,,gas,honda,,2005,clean,140489.0,blue,4483056.0,-123.153025,44.572021,-122.070938,1
mo,16990,good,8 cylinders,gas,chevrolet,rwd,2017,clean,120835.0,white,36.644835,-93.218011,38.456085,-92.288368,6
ks,3450,,,gas,ford,,2006,clean,200000.0,,39123.0,-94.5938,38.5266,-96.726486,1
tx,31590,good,6 cylinders,gas,toyota,,2018,clean,62496.0,red,31.84,-106.43,31.054487,-97.563461,1
ga,26998,,4 cylinders,gas,mercedes-benz,rwd,2016,clean,100846.0,brown,,,33.040619,-83.643074,6
or,9998,,8 cylinders,gas,gmc,4wd,2003,clean,132371.0,,42.37853,-122.85752,44.572021,-122.070938,7
ny,18990,good,,gas,chevrolet,fwd,2020,clean,6395.0,black,41.1,-73.79,42.165726,-74.948051,10
ok,7900,,,gas,chevrolet,fwd,2012,clean,136340.0,,35.43548,-97.52113,35.565342,-96.928917,10
fl,25590,good,6 cylinders,other,gmc,,2015,clean,35290.0,white,27.33,-82.54,27.766279,-81.686783,9
ca,4995,excellent,4 cylinders,gas,bmw,rwd,1998,clean,136298.0,black,34.34568,-11972296.0,36.116203,-119.681564,13
ok,17550,,,gas,chevrolet,,2019,lien,52000.0,,36.1576,-96311.0,35.565342,-96.928917,1
fl,41590,good,,gas,audi,,2019,clean,21493.0,green,33.7865,-84.4454,27.766279,-81.686783,9
nc,30590,good,,gas,mini,,2019,clean,21246.0,,35.57,-82.54,35.630066,-79.806419,9
tn,12979,good,4 cylinders,gas,volkswagen,fwd,2016,clean,64347.0,black,3606832.0,-8414656.0,35.747845,-86.692345,4
co,19998,,4 cylinders,gas,toyota,fwd,2019,clean,18125.0,white,39.822719,-10503969.0,39.059811,-105.311104,4
ca,51815,excellent,4 cylinders,gas,jeep,4wd,2021,,8.0,,39.140569,-121.656918,36.116203,-119.681564,6
oh,11900,,4 cylinders,gas,chevrolet,4wd,2015,salvage,32000.0,,40.810152,-80.425219,40.388783,-82.764915,7
pa,5995,,6 cylinders,other,ford,4wd,1999,clean,151053.0,black,40.857,-73.3146,40.590752,-77.209755,6
nm,46995,,8 cylinders,other,ford,4wd,2013,clean,103790.0,brown,33.3917,-111.9249,34.840515,-106.248482,12
nm,4800,,,gas,toyota,,1998,clean,394.0,,35.1347,-106.5222,34.840515,-106.248482,1
fl,35990,good,,gas,audi,,2018,clean,29157.0,black,33.779214,-84.411811,27.766279,-81.686783,9
fl,9991,excellent,6 cylinders,gas,cadillac,fwd,2010,clean,90000.0,,27933.0,-82.4498,27.766279,-81.686783,11
mn,7499,excellent,4 cylinders,gas,ford,fwd,2011,clean,103776.0,red,44.877529,-93.467388,45.694454,-93.900192,6
mi,5400,,,gas,honda,,2008,clean,192787.0,,42.316052,-85.188374,43.326618,-84.536095,1
co,18999,,6 cylinders,gas,kia,,2016,clean,64490.0,silver,39.7835,-104.9669,39.059811,-105.311104,1
ny,4899,excellent,4 cylinders,gas,honda,fwd,2008,clean,170000.0,white,40.8583,-73.9296,42.165726,-74.948051,4
sc,55999,,,gas,gmc,4wd,2019,clean,20160.0,blue,33.383436,-79.305455,33.856892,-80.945007,12
tn,19499,,4 cylinders,gas,kia,4wd,2019,clean,46299.0,silver,,,35.747845,-86.692345,7
ky,35990,good,6 cylinders,gas,chevrolet,4wd,2016,clean,26039.0,black,36.97,-86.44,37.66814,-84.670067,9
tn,10400,excellent,,gas,hyundai,,2013,clean,95000.0,,35.897044,-84.172248,35.747845,-86.692345,0
il,37921,,,gas,bmw,,2018,clean,21225.0,red,38.505386,-90.451137,40.349457,-88.986137,9
